Author;Comment;Likes;Published At
@ivanpavez7378;I hesitated so much to buy this fountain pen But so far it's the best pen I've bought  the Pilot Vanishing Point.;0;2025-04-01T00:53:10Z
@dymetex6360;the fact that i can't fill it completely kinda drives me a little crazy  BUT i love my matte black VP and always inbk it with Iroshizuku Yama Budo;0;2025-03-26T02:29:04Z
@sofiamelo8980;How about cleaning the front part of the penâ€¦? Thanks â¤;0;2025-03-06T17:52:34Z
@Vandebirt;Nice G-Shock my good Man!  I really like your watchâ€¦ Oh!  The Vanishing Point tooâ€¦;0;2025-03-04T06:42:13Z
@danitrivedi;Thank you! This was awesome!;0;2025-02-04T14:15:19Z
@brianrose340;My VP has issues with ink leakage that builds up around the internal nib housing and eventually out around the clip. Can you think of why that is happening and if thereâ€™s anything I can do about it?;1;2025-01-26T03:09:45Z
@karenholden4740;Good video Brian;0;2025-01-24T22:13:28Z
@RubensMateusPadovezeArquimago;;0;2025-01-24T14:31:55Z
@JefferyHall-ct2tr;Hi Brian!  Thanks for the informative video!  Lots of good info here!  Have a great weekend!;1;2025-01-24T14:04:00Z
@seanbrown3512;Thanks Brian  another great video!! I love my VP! On the subject of pilot  any idea when you will restock Iroshizuku Rikka and Syun-gyo?;1;2025-01-24T05:10:07Z
@NecroKitten;Also - if anyone's ever lost their little silver nubbin' for the cartridges/end of the cartridges - if you contact Pilot  they should send you one! I'm in Canada and just had to pay shipping  they sent me a new one easy peasy without questions. :);1;2025-01-23T21:15:40Z
@ivanupton6586;I wish more Pen Brands with Proprietary cartridge/converter styles would do what Majohn does and make empty cartridges with stoppers...;1;2025-01-23T19:54:02Z
@grulice;Ordered my matte black VP with an F nib in November. The nib is rotated clockwise approx 5-10 deg with respect to the clip. It also wrote really dry  until I got it tuned up at a stationery shop  now it writes like a dream. That rotation drives me absolutely nuts every time I look at the pen though ?Ÿ˜¢;2;2025-01-23T12:25:37Z
@afrog2666;"Well  I honestly clicked because I just wanted to hear about something I don`t already know while I look through my subscription feed :p
But hey  it`s good ASMR hehe.";1;2025-01-23T08:30:33Z
@tomlevasseur8550;Itâ€™s been 30 years since I bought a new fountain pen  but my red and gold vanishing point will be here on Friday followed by my Verdigris Pilot custom 743 which should arrive on Saturday along with paper and many ink samples from Goulet Pens.;1;2025-01-23T05:55:49Z
@botezsorinconstantin;This video is for me ?Ÿ˜‚ Yesterday I bought my first 2025 fountain pen  Pilot Capless. Thanks for the video! â¤;1;2025-01-23T05:07:13Z
@basebilljr07;i got a vintage new old stock VP about a year ago the one that is faceted in hunter green. i absolutely love it;2;2025-01-23T03:39:50Z
@hivona;Vanishing point had been on my wish list for a few months and I got my first one Dec 31st! Now Iâ€™m addicted! I bought 3 more in January ?Ÿ˜® but I am not very proficient at filling them so this video is right on time!;2;2025-01-23T03:34:01Z
@agent0422;"Your ""capillary action"" explanation  which you've mentioned in other videos too  has been extremely helpful for me now that I've started writing with a fountain pen. 

It makes everything else make sense";3;2025-01-23T03:02:19Z
@maryannehommel103;Great video for someone new to the VP! I love my VP  and my Decimo. I tend to refill my cartridges rather than use the con-40  and I'm happy to see Iroshizuku available in cartridges.;1;2025-01-23T02:59:33Z
@adnansalim2187;"Despite all qualities Pilots have very poor suction power across the line. The only technique I learned to maximise ink suction
Is the rotate the converter slowly. Even semi swift speeds like the one were subconsciously used to in Montblanc Watermans Parkers Sheaffers Lamys etc and the tank is barely half max.";1;2025-01-23T02:29:50Z
@mixeddrinks8100;but is a retractable as good as the ones with a cap?;0;2025-01-23T00:19:19Z
@JavierCasillas;I take the converter off and fill it with a syringe  that way I can get the entire thing filled.;1;2025-01-22T23:52:06Z
@veronapaisley6915;You can also use bottled ink with a papette or blunt syringe to refill and re-use an ink cartridge.;6;2025-01-22T23:17:08Z
;;;
@mumalogue;Whenever I fill up my CON-40 the same way with the fill-empty-fill-empty cycle  I wonder if I am contaminating the ink bottle in the same way that weâ€™re not supposed to empty old ink from converter into the bottle.. totally academic question as the only other option I see is to syringe fill;0;2025-01-22T22:42:11Z
@AlanDayley;Thanks for the review. I had forgotten about the cartridge cover. Good thing my VP has been working fine with out it. Now  it is installed.;2;2025-01-22T22:16:14Z
@JustinBakerDeDav;I still remember someone came to me looking for help with a VP saying it was stuck.  Turns out they just jammed the nib unit back into place unaligned and at quite the angle...  Wasn't able to close it much less click and use it.  Pain.;0;2025-01-22T21:58:39Z
@James-cn5qe;I wondered if the capless wasn't designed to just use a cart and the converter was designed later. The con 40 is pretty n useless.;0;2025-01-22T21:22:36Z
@WpSonar;Just ordered my Pilot E95S. Keep up the great content!;1;2025-01-22T21:19:20Z
@ForTheLoveOfPens;Great straight-to-the-point video! Personally I like eye-droppering cartridges on this because itâ€™s hard to see the ink level with the CON 40. Same for the E95s model as well.;10;2025-01-22T21:15:50Z
@kylexu227;second. the vp is the first gold nib fountain pen I bought. ive always hated the con 40 so all I did was use up the cartridge it came with and then syringe filled it with for whom the bell tolls;2;2025-01-22T21:10:09Z
@Captain_Aarav;Wow this video was uploaded just after ordering mine Iâ€™m so lucky;2;2025-01-22T21:00:28Z
@luke_0605;"notice how 4 of the 6 pens are Pilot
proving how they are the goats of pen making they really are the best";;
@Krishnakumar-wl7ih;Its a horror story looking at people making a 4 finger grip while writing. Does it really feel comfortable to contort your finger into such acute angle while writing??;;
@mohammedshoeb4636;I am happy that I have all of them  (Have Pilot Custom 823 instead of custom 74)!;;
@cjcunningham33;That Lamy 2000 price ?Ÿ˜¢;;
@tanyapunyo2074;Pilot falcon si soo freaking beautiful;;
@beandrake6383;The pilot falcon became my go to pen for illustration. The extra fine nib works well for scientific illustration. It also has enough line variance to adjust to different art styles. It is also so smooth!;;
@Davy-oq9pn;"""entry level "" is really an abused term at this point. I have an L2K (stainless steel version) and a Pilot VP and they are amazing pens and at a great price. Still if we're talking entry level then you can get a Parker 45 with a more vintage 14k gold alloy nib that has a decent amount for flex for like $30 on ebay. Using the term entry-level for over $100 pens when there are significantly cheaper pens that fit the bill is just kinda goofy IMO. We all know these are pens for enthusiasts.";;
@MrAndrew1953;Definitely have a few of these and they are worth the extra.;;
@annamarielewis7078;Always such a pleasure to see your friendly face talking about my favorite subject ?Ÿ’;;
;;;
@Bobbyeverything2000;Whoever is holding the pen  you need to cut your nasty ass nails;;
@wilsonshen7737;"wing sung 601 12K and 14K
HERO 100 14K";;
@lgx.2019;For my second gold nib is it good to go for a custom heritage 91 pilot with a medium nib? and how about the writing is it very buttery smooth and a little bit feedback?;;
@LovBoat;Dude interesting video but I canâ€™t stop focusing on those nails. Kinda gross. Sorry.;;
@rathindranathdas7879;"Hello sorry for bothering you with such issues but I'm just a student and such an investment means a lot to me. A pen like this is a ""lifetime investment"". I have been following your channel for a very long time and I have watched most of your reviews regarding flex nib fountain pens. Today please help me to choose 1 between these two. For me the doubts are 
1) 912 FA is a bit scratchy if even a little amount of oil is on the paper. How big of a problem is this 
2) I couldn't totally be sure if the line variation of M1000 is the same as that of 912 FA. Please let me know your thoughts.
3) Is the extra investment for M1000 really worth it?
Please help me.";;
@saurabhchanda653;HI. I live in India  and cannot afford the nice 150 dollar plus pens. I use a Lamy CP1. It is my daily writer and I just want to know if I can change the nib to a gold one? I already have the anodised fine nib but the original pen nib I had bought was broad  so I got it changed. I hope you can help me.;;
@chimpaflimp;Now you guys need to remake this with the Pilot E95S on it in a proper place instead of just an 'honourable mention'.;;
@Stripping_Bolts;jesus christ bro cut your fingernails;;
@blaumax918;What about the Sailor 1911S or Sailor Pro Gear Sapporo?;;
@sord444;I was going to buy a Lamy 2000 but now Iâ€™m torn between that and the Falcon;;
@1DarkNinja58;Are those your fingernails?;;
@irenelalouve2679;Irrelevant but you remind me so much the actor Tyler Hoechlin (the hairstyle  the smile  the eyes  the colours in general) - that being said  nice pens but on the pricey side! Which affordable pens would you recommend that are good quality  good writing expeience and with a flex nib?;;
@XsospoonX;It stinks that the Lamy 2000 is $200 now :(;;
@philippegosselin7756;One that is missing is the Sailor 1911.... but I bet that's because Goulet was not selling it at the  time of this video. And price wise  the Lamy 2000  Pilot custom 74 and the platinum 3776 are not entry level;;
@ubertoby;Those nails are vile;;
@alokcreation625;;;
@allanmacdougall3400;very interested in your site for pens.... ive been using a Mont Blanc... a bit of variety is helpful... thx;;
@Sonicman415;"Loving the trucks behind you. I LOVE the E95S too. Great vid.

   Prices have seriously changed in 5 years ?Ÿ˜‚";;
@vhimeras8030;I would add the Sailor Sapporo too  it has the same nib of the Sailor Pro Gear at a much more affordable price. Great pen  my first gold nib!;;
@bhumiboladulyadejshakya3507;I just want to give an update on 2 gold nibs pens I have used. I am a fan of LAMY 2000  but my pen leaks when I fill it full. The vanishing point is good too  but the writing tip or the writing through this pen is hard. VP has destroyed my handwriting.;;
@Sciguy95;The pilot vanishing point is one of my favorite pens. I've had it for years and use it all the time.;;
@sudipbasak3054;Is there any waterproof fountain pen ink ?;;
@BaronVonBeef;those nails are disgusting;;
@Citizen-of-theworld;How do the sailor gold nib pens (1911 or pro gear) compare to Platinum 3776?;;
@kenji1652;;;
@tanthiennguyen9133;Vielen Dank;;
@Alfa-iz9bw;I got the Pilot vanishing point decimo  and u said that  the grip on the pen is really bad and some people hated it  but for me  I had no problem with that. The reason people hated the pen was the grip and what kind of handgrip there is.;;
@phillipgraham1422;You are just loving on pilot arenâ€™t you. I canâ€™t blame you. My intro pen was a metro and my favorite is a custom 823.;;
@ypure3859;I am amazed how conservative  pen designs are. quite dated. so much room for invention.  in the look I mean..not the performance;;
@Fronatuz;can I know the ink you used in the falcon?;;
@Repinnc;Clip. Those. NAILS..;;
@prateekgiridhar9437;What about the sailor 1911? That's a great pen.;;
@sanjeevjalui1185;"HI Brian 
does the gold nibs have a platinium /iridium tip welded on it or just one piece gold ?";;
@toastpulver3422;Pelikan m400: old or new style  greenstriped or simply black  and always the ability to step up some size level;;
@kenji1652;;;
@jk-orbit8145;I canâ€™t stop staring at those nails ?Ÿ™ˆ;;
@navedr4619;the price are multiple times or double in India of these pens.;;
@sudiptomazumdar4094;Would using black ink damage my fountain pen;;
@eduardomarques91;I like videos about pens  but your calligraphy is jarring. What is the point in putting so much money in writing instruments if you're going to write like a toddler?;;
@MrAndrew1953;Platinum 3776 for a nib with flex  feedback and the E95S. VP and decimo very versatile. Pilot falcon metal version worth saving up for.;;
@oscarwu7284;Whatâ€™s the nib size of the platinum 3776 shown in the video? Can someone help?;;
@Detman101;"Nice.
Used to steel nibs.
Going to jump into the deep end of the Gold-Nib pool with a Pilot Metal Falcon SEF.";;
@darksoul1381;The Lamy 2000 is just too good it might as well be an end-level workhorse gold nib pen.;;
@brockmcconnell217;Do you like Indigo (gold) better than the top five gold nib pens? THanks;;
@jisa98;I would buy a gold nib from Lamy and install it in my Lamy Al Star!;;
@paolocirelli8937;Your embarrassing nails make your videos unwatchable.;;
@rajkunwarsingh2488;How much a new Pilot custom 92 nib cost and how much time would it take for the replacement?;;
@kahzhoylow4352;Hi  can someone tell me why Gold nib though? I tried some steel nib pens a while ago (one Pineider  and another one I forgot the brand)  and felt that they are just as smooth as gold nib pens. Am I the only one that feel that way?;;
@AbdullahArRafi;I'm using the Pilot VP as my daily driver  and damn it feels so great! The fine nib has a touch of feedback which I like because it doesn't give a 'pencil' feel but more like a premium writing experience. I've narrowed down my choice to a few pens  so which one do you suggest to get among these: Sailor Pro Gear  Pilot 823  Pilot E95s  and Lamy 2000 purely based on the writing performance? I guess I wouldn't mind having glass-smooth nibs. However  I truly enjoy what Pilot does with its nibs!;;
@Ziretech;Got the platinum century 3776 blue with EF nib. I take notes in my A6 Leuchtturm1917 dotted notebooks and it is absolutely perfect! Loves the stiffness and feedback of the nib!;;
@Error-5478;I've just purchased the vanishing point with the steel nib. A little more than half of the cost of gold nib vanishing point. If I like the pen  I'll get a gold nib assembly to plop into the body of the cheap one. Haha.;;
@Rafasz1983;Whats the pens with biggest ink capacity? I have twsbi 700 but i broke it  I want try something else. Thank Brian.;;
@zainalu;Which nib size did you use for demonstrating custom 74 loops in this video?;;
@wryan8;Brian you are always so upbeat. Great Videos!;;
@jackroselem4829;I need entry level gold oblique nib.;;
@x-ballpointuser3686;"Is the red one  ""Burgundy"" or actual ""Red""?";;
@eugk1364;Platinum a5000;;
@zainalu;What do you mean by ink does get caught in the grip? Is it inside or outside? Does it leak?;;
@knifejack2153;Why your lamy2000 so thin like thatï¼Ÿ;;
@Jack81631;What do u think of Parker pens   vector   frontier series;;
@conradsmith9332;Great video! These are all great pens  I realy want the lamy 2000 now haha. If your on a serious budget you may want to look at getting a vintage gold nib fountain pen  no kidding I got all of mine for under 40 bucks  and all they needed was a sack which is like what 3 bucks? But I know this channel isn't for vintage pens but I just wanted to pint that out. Thanks :);;
@pavel_losev;What about sailor?;;
@rafgomez333;Thank you very much for the video  Brian. And have you tried any of the gold nib pens from Marlen? I ask because from what I have seen their busy and craftsmanship appears to be superlative  but there is not a lot of information on those pens or that brand anywhere  so I was wondering if you have experience with those. Thanks ;;
@wittwittwer1043;"I have one or more each of the pens reviewed. Least favorite: Lamy 2000  because the grip section is too narrow & tapered. Most preferred: Namiki/Pilot Falcon  because it has the best nib response of any of the others. 


As to some of the comments by others: I buy my pens to use. I don't use pen pouches or ""kimonos."" It doesn't bother me if the barrels or caps get some minor scratches or dents (I never chew on them  though) as long as they continue to work well.";;
@Danaliism;Can you review Lamy dialogue 3?;;
@solar7927;Which one has the softer flex? The rhodium falcon or gold falcon;;
@lexyteo8542;I'm considering between the vanishing point and m600;;
@RockHudrock;Great video!   I like how your pace is fast - you get to the point and lots of interesting info in a short vid.;;
@falihish;nice;;
@hir0085;thought falcon is for experienced writer;;
@soundknight;Are you a guitarist? (Long nails);;
@kinghuynh2725;As an everyday student I use my pens everyday. Ive been using a TWSBI Eco and I love the smoothness  I plan on getting the platinum 3776 but not sure if I should get the SF or M nib;;
@birkfjellstad6788;good video! but plz cut your nails;;
@2048th;Platinum 3776 Century is best ASMR ever;;
@CashCatMoney;I'm torn between the pilot decimo in champagne  or the platinum 3776 in nice lilas. Either way  I'm saving up for one for graduation.;;
@tmikeporter;wondering if there's been an update to this list now for 2019?;;
@dickyallen5464;The real question is  Lamy 2000 or pilot vanishing point  Iâ€™m not sure which one to get...;;
@alexczar1456;No mention of Sailors even though they're half the price of these fives. Feels more like an add for the product that is carried by the Goulet Shop. Which is ok  but I feel that one should be open about it.;;
@AustinSteingrube;"I'm a little surprised you included the Custom 74 in your list. My significant other picked one up a couple months ago and after seeing your mention  I decided to try it out. With Noodler's Apache Orange in both the 74 and the $15 Metropolitan for comparison  we found the two wrote almost identically. The 74 was just as stiff  rough writing  and had the same flex as the $15 Metro... 

Thinking I was insane (after all  a gold nib is  well  a gold nib)  I picked up my Lamy Al-Star and tried it on the same paper - it glided like butter.";;
@MacTechG4;"My self-imposed price cap on pens is $200 and under  and in that price range  the Lamy 2000 dominates the list for me  it is the ideal combination of ink capacity  writing feel  durability  and subtle  understated design  I absolutely love the simple form-follows-function Bauhaus design

The pen is an absolute sleeper  amazing writing experience  amazing German precision  from the subtle click of capping the pen  the spring loaded clip  the almost unnoticeable seams between the section and body  and between the body and piston filler cap  the L2K is worth every penny and definitely hits far above it's weight class

I find that the L2K spoils me for any other ""expensive"" ($150-$200) pen  the others are either too gaudy (Montblanc style)  or are lower capacity due to the screw converters (which often need to be purchased separately)  at this price range  the pen should either come *with* the converter  or have some form of integrated ink storage  like a piston fill

I don't want some gaudy eyesore that screams ""look how much money I can waste on frivolous expenditures""  I want something that is designed to *function* first  aesthetics are irrelevant  the subtler the better

Even better  for me  is since I own a L2K  I feel no need for other  ""fancier"" pens  i'd be perfectly content with the L2K as my only gold-nib pen (well  perhaps one more EF L2K as a backup  two is one  one is none  and maybe another in a wider nib width for more expressive writing  but other than that  I'm good with just my L2K  and my Pilot Metro as my ""daily driver"" and loaner  as it also hits above it's weight class  and it's hard to kill a steel nib

that said  I *do* find the Pilot Vanishing Point intriguing  but the converter feed is a minor negative point for me

if you're on the fence at all about the L2K don't be  do yourself a favour and buy yourself one  you won't regret it";;
@lc6705;ptl 5000a is a great gold nib pen for $64;;
@gnomilius;I've just realised  the Platinum Century and the Jinhao x750 have a unusually similar design.;;
@AlexRichter;I own three of these five pens and couldn't more highly recommend the custom 74. Granted  I use it a lot for flex nib calligraphy and it takes some practice to learn to flex it safely. But I love a pen that can go seamlessly between fancy writing and note taking. And... now I'm thinking of getting the falcon to round out my Pilot collection. My wallet curses you all  but I love you guys. Keep up the awesome work and great service.;;
@ogmh-o2w;I think  the lamy2000 is the best;;
@rrrr-bq4bm;"I'm Japanese.
I like fountain pen very much. 
It is difficult for me to understand English but I think that this video is very good.
I am sorry that my English is not good.";;
@theodoretrisvei6762;Pilot E- 95 S!!!;;
@empatriotou;Love the Platinum 3776 in blue!;;
@flabbybum9562;Good call on those pens.  I have two of your top five - the Lamy 2000 and the Platinum 3776  and they both definitely deserve their spots in your top five. I've also got your honorable mention  the Pilot Elite 95S  and it too is a great pen. My personal favorite nib of all time  is actually a discontinued one - the Platinum 3776 medium-fine. Their fine version on the newer 3776  is also very good though. Keep these videos coming!;;
@ComandanteJ;My mom gave me her Lamy 2000 from the 70's  a gift for her first communion  and when I went to fill it up... it disintegrated. Maybe it had been stored wher it shouldnt be or something  but the plastic had cracks all over  id didnt retain any ink  and it snapped on some parts. A real shame.;;
@xlrslasher6440;In my Opinion... Falcon and 2000 are Best;;
@joecha-un3214;You have pretty bad hand writing for someone whoâ€™s into fountain pens...;;
@ray0fh0pe;"Why isn't the gold nib looking gold ? I always wonder
.. is it white gold ?";;
@gregnajar;Love taking a few hits from my wax pen and watching these vids. These pens are beautiful;;
@ronshaw80;The Pilot E95s is really awesome. I love mine.;;
@jennief2108;Thank you );;
@ì—ë©”ë?„ë“œ-d4u;how about the ptl 5000a?;;
@empatriotou;The last one ( Pilot) reminds me of Sheaffer;;
@Kurazaybo;Just came here to mention the Pilot Celemo as an entry level option;;
@jameschang4015;Trim your nails and practice your writing please!;;
@greteltan8386;What's the ink used for the pilot custom 74? And thanks for the great video :);;
@yukiyoholic164;I have collected all of 3776 and I also love PTL 5000a. Thanks for these pens  I love to study more than any other time.;;
@carlharrison9503;Goulet pens was not my first experience with writing pens. Cross had me way back in time. My dad supplied copper and brass for the company and I got some cool pens. Fast forward to now.Hooked! I love pens and what they do. Fountain Pens have history and the write so nice. Well  the top five shown here are great and I own two. The LAMY 2000 and the Pilot VP. Yes  I have others now because of the time span but to carry I still had my real pocket pens. If you have a chance to buy either  do it. I may look into the others as I save up. Which ever you choose just enjoy and have a great writing Xperience. Write On;;
@imresereny2657;"1:58 - Brian  in all respect  just to put it right: the Lamy 200 was in actual fact _not_ ""their founding pen  when they started the company"". By the 1966 introduction the 2000  which was a groundbreaking item both in terms of technology  materials used and product design  the company was in business for 36 years already and looked back on quite a few successfull - now thought after - pens like those of the Orthos  Artus  Pollux  27 and 99 series.";;
@sebasiouxsierodriguez3638;My first Gold nib Pen was a Parker Sonnet and from this list I own a Lamy 2000  which I love writing with. Very informative video and interesting list. Thx a lot!;;
@citizenz3837;Falcon is my dream right now. I like how the nib looks pointed and how it kind of has a bend on the nib. The pen itself looks very classic the way I like my pens. Unfortunately my parents are avid users of cheap ball pens and they donâ€™t see the worth of spending as much money on fountain pens so I have to literally save up my change and buy them. I currently own a Sheaffer Agio. :(;;
@Sankis;When you do videos like this you should note what color inks you're using during the samples!;;
@NGMonocrom;"Very recently I got back into fountain pens in a very BIG way. Previously I got a beautiful Parker Sonnet for my 40th Birthday three years ago. Before that.... far too many years to count since I enjoyed using a fountain pen. And after my 40th  nothing really took off. But now I went a bit crazy in getting some inexpensive as well as higher priced fountain pens. I'm glad you included the Honorable Mention as I had never even heard of the Pilot E95S before. In fact  I've ended up buying all but two of the six pens on this list. Don't like a nib that is too soft. So the Falcon is out. And I think I might know why Platinum stopped including converters with their 3776. 

I've heard accounts of the stock converters having ink flow and reliability issues. Honestly  it's why I bought the Pilot Custom 74 and a Con-70 converter; instead of the 3776. Couple of weeks back  had ink issues with a medium nib Parker Vector. Happened twice  in a row. I don't mind ink flow issues in a cheap fountain pen  but that just shouldn't happen in one that costs $150+. Just don't want to risk it. Also  having been born into Communist Russia where the quality of domestically produced goods *when they actually were available at all* was very much substandard to the rest of the world. Thus  to me  a fountain pen with feedback or one that is quite ""toothy""; equals cheap junk. Not saying that's what the 3776 is. But hard to get over that experience as a student.";;
@LapuLapuMagellan;I am about to buy my first gold-entry level fountain pen  but Im confused between the Pilot Custom 74 and the Platinum 3776. Between those two  what would you recommend for a student like me?;;
@Varth_Dader.Twitch;Can y'all do a video on how to better handwriting??;;
@jamiemacleod3994;Suprised Sailor Professional Gear Slim isn't mentioned. Great 14k writer for a little over $100;;
@melstevencahilog;HI!!! Please make a video for entry level full flex pen.;;
@MutsuKazuma;what a load of crap nobody writes better just because that thing costs 150 bucks or more  it's just a wannabe elitist thing;;
@rjplaza3641;can you review Mont Blanc Pens PLease.;;
@dhruvsaha3002;hi I'm from India and 150-200$ means in India 9750-13000/- its petty costly for entry level my friend! I want to review on lower cost pens like Jinhao 911.......  So  if you may help me for that...please;;
@christopher5706;Do you think you all will ever do a luxury list for some of your more expensive pens?;;
@michaeljenks6259;3 thumbs up for the Decimo! I carry mine in my shirt pocket. Super convenient. My Falcon runs super wet and my lines are wide without flexing. Great lightweight feel  though.;;
@GarrySkipPerkins;I just bought the Platinum 3776  black diamond as my first fountain pen. I also bought the 3776 Briarwood. I bought one fine and one medium. I only bought one converter to test it out before I bought the second converter. I cannot wait to try them out.;;
@lukerussell2203;are visconti nibs swappable and can you buy just a palladium dream touch nib directly from visconti?;;
@fabsanh;What is the ink you used at 1:12?;;
@ryancalton9775;Not too long ago I didn't think that the custom 74 was that impressive and just ignored it but after getting one I have fallen completely in love with it especially after I got some nice Red and Black notebooks to write in and now it is one of my go to pens. I just realised that I got my custom 74 for a really great price of $100 aud with the soft fine and my Platinum 3776 for an amazing price of $80 aud;;
@RoccosPlace1;Missed the Sailor 911.;;
@moldybongwater3808;What is the ink you used at 3:43?;;
@jordanw6918;I want either the 3776 or the falcon  and choosing between the two is killing me.;;
@hizokuto;How do these pens rank in bounce? This property is the only reason I'd try my first gold nib. Although I've seen the Ahab's line variation  I've heard that you have to be pretty intentional to get any line variation. I write with a light hand so my concern is not feeling a difference. I'm not into calligraphy so I'm not concerned with achieving the largest line width without springing tines.;;
@carolmelancon;I  for one  am very happy you are Pilot heavy because that's what I chose when getting into fountain pens. I'm so happy to feel I made good decisions when a FP newbie :) I first bought (over a couple of years) 4 Pilot VPs. Coming from a dip pen/calligraphy background  the click function was the deal maker  plus the wonderful nib quality. I bought a couple of custom italic nib units  then learned to grind my own for my needs. The interchangeable nib units are a big plus for me. If it wasn't super-convenient  I'd just use a dip pen. I'd love to see your thoughts on the rotring Art Pen. They are probably more geared to calligraphy  but the nibs write so smoothly  and are so forgiving  it might tempt some of your customers to try a true italic hand.;;
@AndreasJankeEU;I'm just curious: Are Lamy Accent ( http://www.lamy.com/ger/b2c/accent/098_by ) and cp1 ( http://www.lamy.com/ger/b2c/cp_1/053 ) available in the US too? I personally like the Accent more than the 2000 and they are both in the same price range. Coming to higher writing: What about Lamy Imporium series ( http://www.lamy.com/ger/b2c/imporium/fh_tipt )  is it known?;;
@SusanClarkeatenterin;"Because of B.G. and the GPC  I am proud owner of all the pens highlighted here except the E95s.  It's on my list as a ""next purchase"" (when my budget affords)  but I'm not sure whether to go with EF or F.  Colin  you'e not a feedback guy so does that mean you opted for a broader nib?  Would love to hear from y'all on this subject.  :D Thanks";;
@adaire5706;How much is it?!!?;;
@thewindrises;A pen $150 dollars  and you say it's an entry level pen.;;
@leslierivera9333;May I ask what ink was used in the Lammy 2000 in this video?;;
@Varth_Dader.Twitch;pilot falcon looks awesome and it might be my first expensive pen.;;
@MrUncleTings;"""great for taking notes on the go"" *clicks pen... draws figure 8s* 
great notes";;
@raskinp6392;where can i just buy the lamy 2000 nib?;;
@naorivas;What is that aqua ink used in the Falcon demo? It's beautiful!;;
@bandithm7784;Im only 12 but I want the falcon so much!;;
@rayyan6486;My jinhao says 14k gp but it was pretty cheap is it fake;;
@jonathanaharonov4409;I noticed you never mentioned one of sailor pens;;
@jereownby5116;"Hi Brian 
I am a fan. I just watched this video on entry-level gold nabbed pens without looking at the photo first. I was pleasantly surprised to discover I owned every one of these pens. 

So  here's a request for future podcast. You know how you have a podcast about the 2nd level fountain pens? How about a podcast on the 2nd level gold nibbed pens? After you own these top 5 entry-level gold nibbed pens  what would be your suggestion for someone's next step up?

Â Personally  I am only interested in how well the pen writes. I think at some level  you reach a point of diminishing returns and further expenditures of money don't create a better writing experience; they create greater works of art or pieces of jewelry. That's fine for those who want that.

Â For me  it's all about the writing experience. I'd be interested in your thoughts on the 2nd level gold nibbed pens. 

Let's say that you're willing to put in another $50-$100 past these top 5 entry-level gold nibbed pens in this podcast â€” what would be your suggestion for that? 

Do you agree that there is some point at which additional money is not buying an enhanced writing experience but is (justifiably) buying a finer and more beautiful object?

Again  I am a customer and I am a fan. I enjoy your thoughts and appreciate somebody having a passion and a vision and making it come to fruition. Good for you! Keep up the great work.";;
@LapuLapuMagellan;Im about to graduate in law school and I havent used fountain pen with gold nib ever since because they are too expensive.;;
@clementinerind;Right now I'm debating on purchasing either the Pilot decimo vanishing point  or the e95s. Which one do you think would work better for small hands  with a two fingered grip?;;
@Jennifer-wr9si;I'm looking at a number of Pilot pens as well. I heard the VP/Decimo have some ink flow problems at the Fine end. Have you found that to be an issue?;;
